DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,WEATHER,IS_HOLIDAY,IS_PEAK_HOUR,IS_WEEKEND,SEASON
2024-04-01 01:00:00,41.2344360351563,28.8885498046875,sxkd96,590.0,1660.0,92.0,96.0,Rainy,0.0,0.0,1.0,Winter
2024-05-01 01:00:00,40.9817504882813,29.0643310546875,sxk9jk,,80.0,34.0,39.0,Cloudy,1.0,0.0,1.0,Winter
2024-07-01 02:00:00,40.8993530273438,29.1412353515625,sxk8xj,44.0,,65.0,18.0,Snowy,0.0,,1.0,Winter
2024-10-01 00:00:00,41.0202026367188,28.9324951171875,sxk967,3.0,94.0,38.0,105.0,Sunny,0.0,0.0,1.0,Winter
2024-01-01 01:00:00,40.8499145507813,29.3060302734375,sxkb6u,13.0,122.0,56.0,51.0,Cloudy,0.0,0.0,1.0,Winter
2024-01-01 02:00:00,41.1410522460938,28.9544677734375,sxkd4c,,79.0,54.0,8.0,,0.0,0.0,1.0,Winter
2024-07-01 02:00:00,,28.8555908203125,sxk92d,6.0,53.0,22.0,23.0,Snowy,0.0,0.0,1.0,Winter
2024-01-01 02:00:00,41.3058471679688,28.0096435546875,sx7fvr,6.0,80.0,32.0,10.0,Cloudy,0.0,0.0,1.0,Winter
2024-08-01 02:00:00,41.0751342773438,28.9984130859375,,4.0,42.0,23.0,19.0,Snowy,1.0,0.0,1.0,Winter
2024-01-01 02:00:00,40.9542846679688,29.2181396484375,sxkbbz,7.0,119.0,62.0,34.0,,1.0,0.0,1.0,Winter
2024-07-01 00:00:00,40.9323120117188,,sxkbu5,28.0,112.0,68.0,10.0,Cloudy,0.0,0.0,1.0,Winter
2024-09-01 01:00:00,41.2399291992188,28.6248779296875,,,147.0,95.0,30.0,Snowy,0.0,0.0,1.0,Winter
2024-06-01 01:00:00,41.1355590820313,28.8006591796875,sxk6p2,53.0,139.0,92.0,95.0,Snowy,0.0,,1.0,Winter
2024-07-01 01:00:00,41.1080932617188,,sxkcue,83.0,,92.0,2.0,Cloudy,0.0,0.0,1.0,Winter
2024-08-01 01:00:00,40.8279418945313,29.3389892578125,sxkb78,8.0,137.0,83.0,104.0,Cloudy,0.0,0.0,1.0,
2024-08-01 01:00:00,41.0092163085938,29.1961669921875,sxkc23,4.0,69.0,35.0,25.0,Snowy,0.0,0.0,1.0,Winter
2024-02-01 01:00:00,40.9652709960938,29.2620849609375,sxkc1c,89.0,79.0,43.0,6.0,Cloudy,0.0,0.0,1.0,Winter
2024-12-01 00:00:00,41.1795043945313,28.8885498046875,sxkd32,12.0,48.0,29.0,18.0,Cloudy,0.0,,1.0,Winter
2024-08-01 01:00:00,41.1245727539063,29.3829345703125,sxkcuw,780.0,780.0,78.0,1.0,Cloudy,0.0,0.0,1.0,Winter
2024-01-01 00:00:00,41.1080932617188,29.0863037109375,,,590.0,37.0,19.0,Rainy,0.0,0.0,1.0,Winter
2024-09-01 02:00:00,41.0586547851563,28.9105224609375,sxk99f,7.0,66.0,29.0,20.0,Snowy,0.0,0.0,1.0,
2024-04-01 00:00:00,41.0147094726563,,sxk92f,2.0,62.0,16.0,63.0,Sunny,0.0,0.0,1.0,Winter
2024-06-01 02:00:00,41.1080932617188,29.2950439453125,sxkcfe,56.0,134.0,94.0,41.0,Sunny,0.0,,1.0,Winter
2024-03-01 02:00:00,,,sxkd42,50.0,101.0,70.0,52.0,Sunny,,0.0,1.0,Winter
2024-11-01 01:00:00,,29.0863037109375,sxk9jy,,50.0,28.0,21.0,Cloudy,0.0,0.0,1.0,Winter
2024-08-01 02:00:00,41.2069702148438,29.1082763671875,sxkdqm,,126.0,92.0,34.0,,0.0,0.0,1.0,Winter
2024-12-01 00:00:00,41.1630249023438,29.0313720703125,sxkdht,6.0,16.0,11.0,3.0,Cloudy,0.0,0.0,1.0,Winter
2024-11-01 01:00:00,,28.0535888671875,sx7fw3,61.0,83.0,69.0,5.0,Cloudy,0.0,0.0,1.0,Winter
2024-07-01 01:00:00,41.0202026367188,28.9105224609375,,4.0,118.0,57.0,160.0,Rainy,0.0,0.0,1.0,Winter
2024-02-01 01:00:00,41.0531616210938,28.7127685546875,,,154.0,88.0,108.0,Snowy,0.0,0.0,1.0,Winter
2024-05-01 00:00:00,40.8938598632813,29.2510986328125,sxkb9s,2.0,65.0,36.0,76.0,Rainy,0.0,0.0,1.0,Winter
2024-06-01 00:00:00,40.9707641601563,,sxk3p4,11.0,88.0,38.0,25.0,Cloudy,0.0,0.0,,Winter
2024-01-01 01:00:00,41.1245727539063,29.3829345703125,sxkcuw,780.0,780.0,78.0,1.0,Cloudy,0.0,0.0,1.0,Winter
2024-11-01 00:00:00,41.1685180664063,29.1741943359375,sxkdpy,54.0,77.0,64.0,4.0,Sunny,1.0,0.0,1.0,Winter
2024-06-01 01:00:00,41.2234497070313,28.8446044921875,,75.0,153.0,,,Sunny,0.0,0.0,1.0,Winter
2024-06-01 00:00:00,41.0366821289063,28.9764404296875,sxk97q,1.0,74.0,25.0,126.0,Sunny,0.0,0.0,1.0,
2024-04-01 00:00:00,41.0147094726563,29.0093994140625,sxk9k4,11.0,60.0,37.0,20.0,Rainy,1.0,0.0,,Winter
2024-11-01 00:00:00,41.0696411132813,28.8885498046875,sxk99k,1.0,83.0,23.0,85.0,Rainy,0.0,0.0,1.0,Winter
2024-01-01 01:00:00,41.1685180664063,28.9874267578125,sxkd5w,20.0,42.0,31.0,3.0,Rainy,,0.0,1.0,Winter
2024-08-01 00:00:00,41.1355590820313,28.1524658203125,sxk408,53.0,152.0,96.0,46.0,Snowy,,0.0,1.0,
2024-06-01 02:00:00,41.3058471679688,28.0096435546875,sx7fvr,6.0,80.0,32.0,10.0,Cloudy,0.0,0.0,1.0,Winter
2024-06-01 00:00:00,40.9323120117188,29.4158935546875,sxkbv7,42.0,,83.0,51.0,Cloudy,0.0,0.0,1.0,Winter
2024-08-01 02:00:00,41.0147094726563,28.8226318359375,sxk3rf,12.0,72.0,32.0,32.0,Rainy,0.0,,1.0,Winter
2024-05-01 01:00:00,41.3003540039063,28.0096435546875,sx7fvq,72.0,86.0,78.0,4.0,Sunny,0.0,0.0,1.0,
2024-08-01 00:00:00,41.0971069335938,28.8995361328125,sxk9c9,2.0,50.0,23.0,44.0,Sunny,1.0,0.0,1.0,Winter
2024-08-01 00:00:00,41.1245727539063,29.0423583984375,sxk9uy,80.0,350.0,24.0,7.0,Snowy,0.0,0.0,1.0,Winter
2024-12-01 00:00:00,41.0696411132813,29.0643310546875,sxk9tk,9.0,55.0,32.0,12.0,Rainy,0.0,0.0,1.0,Winter
2024-07-01 00:00:00,41.0916137695313,28.9324951171875,sxk9f2,30.0,,50.0,305.0,,0.0,0.0,1.0,Winter
2024-02-01 00:00:00,40.8883666992188,29.1741943359375,,5.0,111.0,48.0,55.0,Cloudy,1.0,0.0,1.0,Winter
2024-11-01 02:00:00,41.0806274414063,29.0533447265625,sxk9tn,9.0,52.0,31.0,3.0,Rainy,1.0,,1.0,Winter
